Run   Execution Time (ms) 
---------------------------- 
1     12ms ms 
1     11ms ms 
1     12ms ms 
1     12ms ms 
1     12ms ms 
1     12ms ms 
1     12ms ms 
1     12ms ms 
1     29ms ms 
2     14ms ms 
2     14ms ms 
2     14ms ms 
2     15ms ms 
2     14ms ms 
2     14ms ms 
2     15ms ms 
2     14ms ms 
2     22ms ms 
3     17ms ms 
3     17ms ms 
3     17ms ms 
3     17ms ms 
3     19ms ms 
3     21ms ms 
3     21ms ms 
3     24ms ms 
3     40ms ms 
4     13ms ms 
4     13ms ms 
4     13ms ms 
4     14ms ms 
4     13ms ms 
4     13ms ms 
4     14ms ms 
4     14ms ms 
4     27ms ms 
5     13ms ms 
5     13ms ms 
5     12ms ms 
5     13ms ms 
5     12ms ms 
5     13ms ms 
5     13ms ms 
5     14ms ms 
5     19ms ms 
6     11ms ms 
6     12ms ms 
6     12ms ms 
6     12ms ms 
6     13ms ms 
6     13ms ms 
6     13ms ms 
6     13ms ms 
6     22ms ms 
7     14ms ms 
7     13ms ms 
7     14ms ms 
7     14ms ms 
7     14ms ms 
7     14ms ms 
7     14ms ms 
7     15ms ms 
7     17ms ms 
8     11ms ms 
8     12ms ms 
8     11ms ms 
8     12ms ms 
8     12ms ms 
8     12ms ms 
8     12ms ms 
8     13ms ms 
8     22ms ms 
9     19ms ms 
9     18ms ms 
9     18ms ms 
9     18ms ms 
9     19ms ms 
9     19ms ms 
9     20ms ms 
9     20ms ms 
9     33ms ms 
10     14ms ms 
10     14ms ms 
10     13ms ms 
10     14ms ms 
10     13ms ms 
10     13ms ms 
10     14ms ms 
10     14ms ms 
10     31ms ms 
11     13ms ms 
11     12ms ms 
11     12ms ms 
11     13ms ms 
11     13ms ms 
11     13ms ms 
11     13ms ms 
11     12ms ms 
11     32ms ms 
12     12ms ms 
12     12ms ms 
12     12ms ms 
12     12ms ms 
12     12ms ms 
12     13ms ms 
12     13ms ms 
12     13ms ms 
12     24ms ms 
13     12ms ms 
13     14ms ms 
13     14ms ms 
13     13ms ms 
13     13ms ms 
13     13ms ms 
13     14ms ms 
13     16ms ms 
13     26ms ms 
14     13ms ms 
14     13ms ms 
14     13ms ms 
14     14ms ms 
14     14ms ms 
14     14ms ms 
14     14ms ms 
14     14ms ms 
14     20ms ms 
15     13ms ms 
15     13ms ms 
15     13ms ms 
15     12ms ms 
15     13ms ms 
15     13ms ms 
15     13ms ms 
15     14ms ms 
15     20ms ms 
16     13ms ms 
16     12ms ms 
16     12ms ms 
16     13ms ms 
16     12ms ms 
16     13ms ms 
16     13ms ms 
16     13ms ms 
16     18ms ms 
17     12ms ms 
17     12ms ms 
17     13ms ms 
17     12ms ms 
17     13ms ms 
17     13ms ms 
17     13ms ms 
17     13ms ms 
17     17ms ms 
18     14ms ms 
18     14ms ms 
18     14ms ms 
18     15ms ms 
18     14ms ms 
18     14ms ms 
18     15ms ms 
18     14ms ms 
18     25ms ms 
19     12ms ms 
19     12ms ms 
19     11ms ms 
19     12ms ms 
19     12ms ms 
19     12ms ms 
19     12ms ms 
19     13ms ms 
19     17ms ms 
20     12ms ms 
20     12ms ms 
20     13ms ms 
20     13ms ms 
20     13ms ms 
20     13ms ms 
20     14ms ms 
20     14ms ms 
20     25ms ms 
21     14ms ms 
21     14ms ms 
21     14ms ms 
21     14ms ms 
21     14ms ms 
21     15ms ms 
21     15ms ms 
21     16ms ms 
21     23ms ms 
22     13ms ms 
22     13ms ms 
22     14ms ms 
22     13ms ms 
22     12ms ms 
22     14ms ms 
22     13ms ms 
22     14ms ms 
22     25ms ms 
23     13ms ms 
23     13ms ms 
23     12ms ms 
23     13ms ms 
23     12ms ms 
23     14ms ms 
23     14ms ms 
23     14ms ms 
23     20ms ms 
24     14ms ms 
24     14ms ms 
24     12ms ms 
24     13ms ms 
24     13ms ms 
24     13ms ms 
24     14ms ms 
24     14ms ms 
24     23ms ms 
25     13ms ms 
25     12ms ms 
25     13ms ms 
25     12ms ms 
25     12ms ms 
25     13ms ms 
25     13ms ms 
25     12ms ms 
25     26ms ms 
